"方向","代码","名称","订单价格","订单数量","订单金额","交易状态","已成交@均价","下单时间","订单类型","期限","盘前竞价","时段","触发价","允许开仓","市场","币种","订单来源","成交数量","成交价格","成交金额","成交时间","市场","币种","对手经纪","备注","佣金","平台使用费","交收费","印花税","交易费","证监会征费","财汇局征费","期权监管费","期权清算费","期权交收费","证监会规费","交易活动费","交易系统使用费","综合审计跟踪监管费","合计费用"
"买入","SVXY","做空波动率指数短期期货ETF-ProShares","38.87","65","2,526.55","全部成交","65@38.819","2025/04/04 09:14:35 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","65","38.819","2,523.24","2025/04/04 09:14:35 (美东)","美股","USD","","","0.99","1","0.2","","","","","","","","","","","","2.19"
"买入","SVXY","做空波动率指数短期期货ETF-ProShares","39.00","40","1,560.00","全部成交","40@39.00","2025/04/04 09:04:44 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","40","39.00","1,560.00","2025/04/04 09:04:44 (美东)","美股","USD","","","0.99","1","0.12","","","","","","","","","","","","2.11"
"买入","SVXY","做空波动率指数短期期货ETF-ProShares","38.92","60","2,335.20","已撤单","0@0.00","2025/04/04 09:04:15 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","SVXY","做空波动率指数短期期货ETF-ProShares","38.61","15","579.15","全部成交","15@38.59","2025/04/04 08:56:25 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","15","38.59","578.85","2025/04/04 08:56:25 (美东)","美股","USD","","","0.99","1","0.05","","","","","","","","","","","","2.04"
"买入","MSTU","2倍做多MSTR ETF-T-Rex","5.34","400","2,136.00","全部成交","400@5.34","2025/04/04 08:34:35 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","400","5.34","2,136.00","2025/04/04 08:34:35 (美东)","美股","USD","","","1.96","2","1.2","","","","","","","","","","","","5.16"
"买入","MSTU","2倍做多MSTR ETF-T-Rex","5.25","100","525.00","全部成交","100@5.25","2025/04/04 08:32:55 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","5.25","525.00","2025/04/04 08:32:55 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","","","","","2.29"
"卖出","TSLA250417C265000","TSLA 250417 265.00C","18.95","1","1,895.00","全部成交","1@18.95","2025/04/03 12:22:33 (美东)","限价单","当日有效","","盘中","","","美股","USD","","1","18.95","1,895.00","2025/04/03 12:22:33 (美东)","美股","USD","","","1.99","0.3","","","","","","0.01","0.02","0.18","0.05","0.01","","","2.56"
"卖出","TSLA250417C265000","TSLA 250417 265.00C","18.55","1","1,855.00","全部成交","1@18.57","2025/04/03 12:18:10 (美东)","限价单","当日有效","","盘中","","","美股","USD","","1","18.57","1,857.00","2025/04/03 12:18:14 (美东)","美股","USD","","","1.99","0.3","","","","","","0.01","0.02","0.18","0.05","0.01","","","2.56"
"卖出","PLTR","Palantir","85.02","25","2,125.50","全部成交","25@85.1302","2025/04/03 12:08:15 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","25","85.1302","2,128.26","2025/04/03 12:08:15 (美东)","美股","USD","","","0.99","1","0.08","","","","","","","","0.06","0.01","","","2.14"
"买入","TSLA250417C265000","TSLA 250417 265.00C","17.55","2","3,510.00","全部成交","2@17.55","2025/04/03 12:05:41 (美东)","限价单","当日有效","","盘中","","","美股","USD","","2","17.55","3,510.00","2025/04/03 12:05:42 (美东)","美股","USD","","","1.99","0.6","","","","","","0.03","0.04","0.36","","","","","3.02"
"买入","PLTR","Palantir","84.40","10","844.00","全部成交","10@84.40","2025/04/03 11:36:52 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","84.40","844.00","2025/04/03 11:36:52 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","","","","","2.02"
"买入","PLTR","Palantir","84.21","15","1,263.15","全部成交","15@84.21","2025/04/03 11:36:17 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","15","84.21","1,263.15","2025/04/03 11:45:37 (美东)","美股","USD","","","0.99","1","0.05","","","","","","","","","","","","2.04"
"卖出","TSLL","2倍做多TSLA ETF-Direxion","9.92","300","2,976.00","全部成交","300@9.9203","2025/04/03 08:40:36 (美东)","限价单","当日有效","","全时段","","","美股","USD","","300","9.9203","2,976.09","2025/04/03 08:40:36 (美东)","美股","USD","","","1.47","1.5","0.9","","","","","","","","0.08","0.05","","","4"
"买入","TSLL","2倍做多TSLA ETF-Direxion","10.00","200","2,000.00","全部成交","200@10.00","2025/04/03 06:45:41 (美东)","限价单","当日有效","","全时段","","","美股","USD","","200","10.00","2,000.00","2025/04/03 07:01:01 (美东)","美股","USD","","","0.99","1","0.6","","","","","","","","","","","","2.59"
"买入","TSLL","2倍做多TSLA ETF-Direxion","10.00","100","1,000.00","全部成交","100@10.00","2025/04/03 06:04:05 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","10.00","1,000.00","2025/04/03 07:01:01 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","","","","","2.29"
"卖出","TSLL","2倍做多TSLA ETF-Direxion","10.23","700","7,161.00","全部成交","700@10.23","2025/04/03 06:02:37 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","700","10.23","7,161.00","2025/04/03 06:02:37 (美东)","美股","USD","","","3.43","3.5","2.1","","","","","","","","0.2","0.12","","","9.35"
"卖出","TSLL","2倍做多TSLA ETF-Direxion","10.27","200","2,054.00","全部成交","200@10.275","2025/04/03 06:01:19 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","200","10.275","2,055.00","2025/04/03 06:01:19 (美东)","美股","USD","","","0.99","1","0.6","","","","","","","","0.06","0.03","","","2.68"
"卖出","TSLL","2倍做多TSLA ETF-Direxion","10.22","200","2,044.00","已撤单","0@0.00","2025/04/03 06:01:01 (美东)","限价单","当日有效","","盘中","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"卖出","TSLL","2倍做多TSLA ETF-Direxion","触及市价","400","0.00","已撤单","0@0.00","2025/04/03 04:43:12 (美东)","止损市价单","当日有效","","盘中","10.30","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"卖出","TSLL","2倍做多TSLA ETF-Direxion","10.02","200","2,004.00","已撤单","0@0.00","2025/04/03 02:09:58 (美东)","限价单","当日有效","","全时段","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","TSLL","2倍做多TSLA ETF-Direxion","10.30","200","2,060.00","全部成交","200@10.30","2025/04/02 12:51:14 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","87","10.30","896.10","2025/04/02 16:30:16 (美东)","美股","USD","","","0.99","1","0.6","","","","","","","","","","","","2.59"
"","","","","","","","","","","","","","","","","","","113","10.30","1,163.90","2025/04/02 16:30:16 (美东)","美股","USD","","","","","","","","","","","","","","","","",""
"买入","TSLL","2倍做多TSLA ETF-Direxion","10.16","700","7,112.00","全部成交","700@10.16","2025/04/02 12:13:11 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","700","10.16","7,112.00","2025/04/02 16:30:37 (美东)","美股","USD","","","3.43","3.5","2.1","","","","","","","","","","","","9.03"
"买入","TSLL","2倍做多TSLA ETF-Direxion","10.16","200","2,032.00","已撤单","0@0.00","2025/04/02 11:44:09 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"卖出","TSLL","2倍做多TSLA ETF-Direxion","市价","400","4,268.08","全部成交","400@10.6702","2025/04/02 11:30:46 (美东)","市价单","当日有效","","盘中","","","美股","USD","","400","10.6702","4,268.08","2025/04/02 11:30:46 (美东)","美股","USD","","","1.96","2","1.2","","","","","","","","0.12","0.07","","","5.35"
"卖出","01810","小米集团-W","市价","200","8,910.00","全部成交","200@44.55","2025/04/02 15:33:29 (香港)","市价单","当日有效","","","","","港股","HKD","","200","44.55","8,910.00","2025/04/02 15:33:29 (香港)","港股","HKD","6698","","3","15","2","9","0.5","0.24","0.01","","","","","","","","29.75"
"买入","01810","小米集团-W","46.85","200","9,370.00","全部成交","200@46.85","2025/04/02 10:56:20 (香港)","限价单","当日有效","允许","","","","港股","HKD","","200","46.85","9,370.00","2025/04/02 10:56:20 (香港)","港股","HKD","9057","","3","15","2","10","0.53","0.25","0.01","","","","","","","","30.79"
"买入","TSLL","2倍做多TSLA ETF-Direxion","市价","200","2,041.94","全部成交","200@10.2097","2025/04/01 14:51:01 (美东)","市价单","当日有效","","盘中","","","美股","USD","","200","10.2097","2,041.94","2025/04/01 14:51:01 (美东)","美股","USD","","","0.99","1","0.6","","","","","","","","","","","","2.59"
"买入","TSLL","2倍做多TSLA ETF-Direxion","10.20","200","2,040.00","全部成交","200@10.20","2025/04/01 14:50:50 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","75","10.20","765.00","2025/04/01 14:51:03 (美东)","美股","USD","","","0.99","1","0.61","","","","","","","","","","","","2.6"
"","","","","","","","","","","","","","","","","","","125","10.20","1,275.00","2025/04/01 14:51:03 (美东)","美股","USD","","","","","","","","","","","","","","","","",""
"卖出","PLTR","Palantir","市价","10","846.90","全部成交","10@84.6901","2025/04/01 11:38:40 (美东)","市价单","当日有效","","盘中","","","美股","USD","","10","84.6901","846.90","2025/04/01 11:38:40 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","0.02","0.01","","","2.05"
"卖出","PLTR","Palantir","85.04","10","850.40","全部成交","10@85.04","2025/04/01 11:21:13 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","85.04","850.40","2025/04/01 11:21:31 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","0.02","0.01","","","2.05"
"买入","PLTR","Palantir","83.98","20","1,679.60","全部成交","20@83.98","2025/04/01 10:46:01 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","83.98","1,679.60","2025/04/01 10:46:10 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","","","","2.05"
"卖出","TSLL","2倍做多TSLA ETF-Direxion","9.71","100","971.00","全部成交","100@9.715","2025/04/01 10:07:06 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","9.715","971.50","2025/04/01 10:07:10 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","0.03","0.02","","","2.34"
"买入","TSLL","2倍做多TSLA ETF-Direxion","10.00","100","1,000.00","全部成交","100@9.9595","2025/04/01 09:45:36 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","9.9595","995.95","2025/04/01 09:45:36 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","","","","","2.29"
"卖出","MIU250429P43000","小米 250429 43.00 沽","0.98","1","980.00","全部成交","1@0.98","2025/04/01 15:48:00 (香港)","限价单","当日有效","","","","","港股","HKD","","1","0.98","980.00","2025/04/01 15:48:00 (香港)","港股","HKD","","","3","15","","","","","","","","","","","1","","19"
"买入","MIU250429P43000","小米 250429 43.00 沽","0.89","1","890.00","全部成交","1@0.89","2025/04/01 13:17:51 (香港)","限价单","当日有效","","","","","港股","HKD","","1","0.89","890.00","2025/04/01 13:17:54 (香港)","港股","HKD","","","3","15","","","","","","","","","","","1","","19"
"卖出","MIU250429C52500","小米 250429 52.50 购","1.16","1","1,160.00","全部成交","1@1.16","2025/04/01 13:12:00 (香港)","限价单","当日有效","","","","","港股","HKD","","1","1.16","1,160.00","2025/04/01 13:12:05 (香港)","港股","HKD","","","3","15","","","","","","","","","","","1","","19"
"买入","MIU250429C52500","小米 250429 52.50 购","1.23","1","1,230.00","全部成交","1@1.23","2025/04/01 13:11:11 (香港)","限价单","当日有效","","","","","港股","HKD","","1","1.23","1,230.00","2025/04/01 13:11:11 (香港)","港股","HKD","","","3","15","","","","","","","","","","","1","","19"
"卖出","MIU250429P45000","小米 250429 45.00 沽","0.87","7","6,090.00","全部成交","7@0.87286","2025/03/31 14:48:21 (香港)","限价单","当日有效","","","","","港股","HKD","","5","0.87","4,350.00","2025/03/31 14:48:21 (香港)","港股","HKD","","","12.22","15","","","","","","","","","","","7","","34.22"
"","","","","","","","","","","","","","","","","","","2","0.88","1,760.00","2025/03/31 14:48:21 (香港)","港股","HKD","","","","","","","","","","","","","","","","",""
"卖出","MIU250429C50000","小米 250429 50.00 购","2.24","1","2,240.00","全部成交","1@2.24","2025/03/31 11:27:57 (香港)","限价单","当日有效","","","","","港股","HKD","","1","2.24","2,240.00","2025/03/31 11:28:00 (香港)","港股","HKD","","","4.48","15","","","","","","","","","","","1","","20.48"
"买入","MIU250429P45000","小米 250429 45.00 沽","0.96","5","4,800.00","全部成交","5@0.96","2025/03/31 11:27:39 (香港)","限价单","当日有效","","","","","港股","HKD","","5","0.96","4,800.00","2025/03/31 11:27:42 (香港)","港股","HKD","","","9.6","15","","","","","","","","","","","5","","29.6"
"买入","MIU250429C50000","小米 250429 50.00 购","2.43","1","2,430.00","全部成交","1@2.43","2025/03/31 11:16:16 (香港)","限价单","当日有效","","","","","港股","HKD","","1","2.43","2,430.00","2025/03/31 11:16:33 (香港)","港股","HKD","","","4.86","15","","","","","","","","","","","1","","20.86"
"买入","MIU250429P45000","小米 250429 45.00 沽","0.90","2","1,800.00","全部成交","2@0.90","2025/03/31 11:12:46 (香港)","限价单","当日有效","","","","","港股","HKD","","2","0.90","1,800.00","2025/03/31 11:12:48 (香港)","港股","HKD","","","3.6","15","","","","","","","","","","","2","","20.6"
"卖出","TSLA250411P250000","TSLA 250411 250.00P","8.65","2","1,730.00","全部成交","2@8.65","2025/03/28 11:37:46 (美东)","限价单","当日有效","","盘中","","","美股","USD","","2","8.65","1,730.00","2025/03/28 11:37:49 (美东)","美股","USD","","","1.99","0.6","","","","","","0.03","0.04","0.36","0.05","0.01","","","3.08"
"卖出","TSLA250516P220000","TSLA 250516 220.00P","9.35","1","935.00","全部成交","1@9.35","2025/03/28 11:37:34 (美东)","限价单","当日有效","","盘中","","","美股","USD","","1","9.35","935.00","2025/03/28 11:37:37 (美东)","美股","USD","","","1.99","0.3","","","","","","0.01","0.02","0.18","0.03","0.01","","","2.54"
"买入","TSLA250516P220000","TSLA 250516 220.00P","10.10","1","1,010.00","全部成交","1@10.10","2025/03/28 10:44:40 (美东)","限价单","当日有效","","盘中","","","美股","USD","","1","10.10","1,010.00","2025/03/28 10:44:40 (美东)","美股","USD","","","1.99","0.3","","","","","","0.01","0.02","0.18","","","","","2.5"
"卖出","TSLA250328P250000","TSLA 250328 250.00P","0.54","4","216.00","全部成交","4@0.54","2025/03/28 10:36:42 (美东)","限价单","当日有效","","盘中","","","美股","USD","","1","0.54","54.00","2025/03/28 10:36:43 (美东)","美股","USD","","","2.6","1.2","","","","","","0.05","0.08","0.72","0.03","0.03","","","4.71"
"","","","","","","","","","","","","","","","","","","2","0.54","108.00","2025/03/28 10:36:43 (美东)","美股","USD","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","1","0.54","54.00","2025/03/28 10:36:43 (美东)","美股","USD","","","","","","","","","","","","","","","","",""
"买入","TSLA250411P250000","TSLA 250411 250.00P","10.55","1","1,055.00","全部成交","1@10.50","2025/03/28 10:36:33 (美东)","限价单","当日有效","","盘中","","","美股","USD","","1","10.50","1,050.00","2025/03/28 10:36:33 (美东)","美股","USD","","","1.99","0.3","","","","","","0.01","0.02","0.18","","","","","2.5"
"买入","TSLA250411P250000","TSLA 250411 250.00P","10.80","1","1,080.00","全部成交","1@10.60","2025/03/28 10:35:41 (美东)","限价单","当日有效","","盘中","","","美股","USD","","1","10.60","1,060.00","2025/03/28 10:35:41 (美东)","美股","USD","","","1.99","0.3","","","","","","0.01","0.02","0.18","","","","","2.5"
"卖出","TSLA250328C250000","TSLA 250328 250.00C","12.85","1","1,285.00","全部成交","1@12.85","2025/03/28 10:35:03 (美东)","限价单","当日有效","","盘中","","","美股","USD","","1","12.85","1,285.00","2025/03/28 10:35:04 (美东)","美股","USD","","","1.99","0.3","","","","","","0.01","0.02","0.18","0.04","0.01","","","2.55"
"买入","TSLA250328P250000","TSLA 250328 250.00P","0.60","4","240.00","全部成交","4@0.60","2025/03/28 10:34:42 (美东)","限价单","当日有效","","盘中","","","美股","USD","","4","0.60","240.00","2025/03/28 10:34:52 (美东)","美股","USD","","","2.6","1.2","","","","","","0.05","0.08","0.72","","","","","4.65"
"买入","TSLA250328C250000","TSLA 250328 250.00C","13.45","1","1,345.00","全部成交","1@13.45","2025/03/28 10:34:17 (美东)","限价单","当日有效","","盘中","","","美股","USD","","1","13.45","1,345.00","2025/03/28 10:34:18 (美东)","美股","USD","","","1.99","0.3","","","","","","0.01","0.02","0.18","","","","","2.5"
"卖出","TSLL","2倍做多TSLA ETF-Direxion","市价","150","1,497.20","全部成交","150@9.98135","2025/03/28 10:28:39 (美东)","市价单","当日有效","","盘中","","","美股","USD","","150","9.98135","1,497.20","2025/03/28 10:28:40 (美东)","美股","USD","","","0.99","1","0.45","","","","","","","","0.04","0.02","","","2.5"
"卖出","TSLL","2倍做多TSLA ETF-Direxion","市价","150","0.00","下单失败","0@0.00","2025/03/28 10:28:23 (美东)","市价单","当日有效","","盘中","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"卖出","TSLL","2倍做多TSLA ETF-Direxion","市价","100","998.51","全部成交","100@9.9851","2025/03/28 10:28:09 (美东)","市价单","当日有效","","盘中","","","美股","USD","","100","9.9851","998.51","2025/03/28 10:28:09 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","0.03","0.02","","","2.34"
"卖出","TSLL","2倍做多TSLA ETF-Direxion","10.01","150","1,501.50","已撤单","0@0.00","2025/03/28 10:28:02 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","TSLL","2倍做多TSLA ETF-Direxion","10.31","100","1,031.00","全部成交","100@10.3094","2025/03/28 10:17:55 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","10.3094","1,030.94","2025/03/28 10:17:55 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","","","","","2.29"
"买入","TSLL","2倍做多TSLA ETF-Direxion","10.65","50","532.50","全部成交","50@10.6386","2025/03/28 10:00:50 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","50","10.6386","531.93","2025/03/28 10:00:51 (美东)","美股","USD","","","0.99","1","0.15","","","","","","","","","","","","2.14"
"买入","TSLL","2倍做多TSLA ETF-Direxion","10.74","100","1,074.00","全部成交","100@10.74","2025/03/28 09:49:19 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","10.74","1,074.00","2025/03/28 09:49:21 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","","","","","2.29"
"卖出","GLD250516P270000","GLD 250516 270.00P","1.46","7","1,022.00","全部成交","7@1.46","2025/03/28 09:48:48 (美东)","限价单","当日有效","","盘中","","","美股","USD","","7","1.46","1,022.00","2025/03/28 09:48:54 (美东)","美股","USD","","","4.55","2.1","","","","","","0.09","0.14","1.26","0.03","0.02","","","8.19"
"卖出","AMZN250815C205000","AMZN 250815 205.00C","14.65","1","1,465.00","全部成交","1@14.65","2025/03/28 09:44:53 (美东)","限价单","当日有效","","盘中","","","美股","USD","","1","14.65","1,465.00","2025/03/28 09:44:57 (美东)","美股","USD","","","1.99","0.3","","","","","","0.01","0.02","0.18","0.04","0.01","","","2.55"
"买入","AMZN250815C205000","AMZN 250815 205.00C","15.10","1","1,510.00","全部成交","1@15.10","2025/03/28 09:40:08 (美东)","限价单","当日有效","","盘中","","","美股","USD","","1","15.10","1,510.00","2025/03/28 09:40:08 (美东)","美股","USD","","","1.99","0.3","","","","","","0.01","0.02","0.18","","","","","2.5"
"买入","GLD250516P270000","GLD 250516 270.00P","2.28","1","228.00","全部成交","1@2.28","2025/03/26 13:56:54 (美东)","限价单","当日有效","","盘中","","","美股","USD","","1","2.28","228.00","2025/03/26 13:56:55 (美东)","美股","USD","","","1.99","0.3","","","","","","0.01","0.02","0.18","","","","","2.5"
"卖出","TSLL","2倍做多TSLA ETF-Direxion","市价","200","2,175.00","全部成交","200@10.875","2025/03/26 10:12:35 (美东)","市价单","当日有效","","盘中","","","美股","USD","","200","10.875","2,175.00","2025/03/26 10:12:36 (美东)","美股","USD","","","0.99","1","0.6","","","","","","","","0.06","0.03","","","2.68"
"买入","TSLL","2倍做多TSLA ETF-Direxion","11.19","200","2,238.00","全部成交","200@11.1899","2025/03/26 10:03:04 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","200","11.1899","2,237.98","2025/03/26 10:03:05 (美东)","美股","USD","","","0.99","1","0.6","","","","","","","","","","","","2.59"
"买入","GLD250516P270000","GLD 250516 270.00P","2.38","3","714.00","全部成交","3@2.38","2025/03/26 09:58:34 (美东)","限价单","当日有效","","盘中","","","美股","USD","","3","2.38","714.00","2025/03/26 09:58:34 (美东)","美股","USD","","","1.99","0.9","","","","","","0.04","0.06","0.54","","","","","3.53"
"卖出","FBL","GraniteShares 2x Long META Daily ETF","市价","30","1,067.61","全部成交","30@35.5871","2025/03/26 09:48:44 (美东)","市价单","当日有效","","盘中","","","美股","USD","","30","35.5871","1,067.61","2025/03/26 09:48:44 (美东)","美股","USD","","","0.99","1","0.09","","","","","","","","0.03","0.01","","","2.12"
"卖出","PLTR","Palantir","市价","30","2,889.00","全部成交","30@96.3001","2025/03/26 09:48:31 (美东)","市价单","当日有效","","盘中","","","美股","USD","","30","96.3001","2,889.00","2025/03/26 09:48:31 (美东)","美股","USD","","","0.99","1","0.09","","","","","","","","0.08","0.01","","","2.17"
"卖出","PLTR","Palantir","96.36","30","2,890.80","已撤单","0@0.00","2025/03/26 09:48:20 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"卖出","TSLA","特斯拉","市价","10","2,834.45","全部成交","10@283.445","2025/03/26 09:48:11 (美东)","市价单","当日有效","","盘中","","","美股","USD","","10","283.445","2,834.45","2025/03/26 09:48:11 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","0.08","0.01","","","2.11"
"卖出","TSLL","2倍做多TSLA ETF-Direxion","市价","100","1,145.02","全部成交","100@11.4502","2025/03/26 09:48:01 (美东)","市价单","当日有效","","盘中","","","美股","USD","","100","11.4502","1,145.02","2025/03/26 09:48:01 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","0.03","0.02","","","2.34"
"卖出","PLTR","Palantir","触及市价","30","0.00","已撤单","0@0.00","2025/03/25 11:39:53 (美东)","止损市价单","当日有效","","盘中","94.20","","美股","USD","","","","","","","","","","","","","","","","","","","","","","","",""
"买入","TSLL","2倍做多TSLA ETF-Direxion","11.04","100","1,104.00","全部成交","100@11.035","2025/03/25 11:05:40 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","11.035","1,103.50","2025/03/25 11:05:44 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","","","","","2.29"
"卖出","TSLL","2倍做多TSLA ETF-Direxion","11.02","500","5,510.00","全部成交","500@11.025","2025/03/25 11:00:16 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","200","11.025","2,205.00","2025/03/25 11:00:16 (美东)","美股","USD","","","2.45","2.5","1.5","","","","","","","","0.15","0.08","","","6.68"
"","","","","","","","","","","","","","","","","","","100","11.025","1,102.50","2025/03/25 11:00:16 (美东)","美股","USD","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","200","11.025","2,205.00","2025/03/25 11:00:16 (美东)","美股","USD","","","","","","","","","","","","","","","","",""
"卖出","HIMS","Hims & Hers Health","36.56","40","1,462.40","全部成交","40@36.56","2025/03/25 10:24:44 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","40","36.56","1,462.40","2025/03/25 10:24:45 (美东)","美股","USD","","","0.99","1","0.12","","","","","","","","0.04","0.01","","","2.16"
"买入","TSLL","2倍做多TSLA ETF-Direxion","10.96","200","2,192.00","全部成交","200@10.9199","2025/03/25 10:24:31 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","200","10.9199","2,183.98","2025/03/25 10:24:31 (美东)","美股","USD","","","0.99","1","0.6","","","","","","","","","","","","2.59"
"买入","TSLL","2倍做多TSLA ETF-Direxion","10.88","300","3,264.00","全部成交","300@10.8571","2025/03/25 10:15:05 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","300","10.8571","3,257.13","2025/03/25 10:15:06 (美东)","美股","USD","","","1.47","1.5","0.9","","","","","","","","","","","","3.87"
"卖出","TQQQ","3倍做多纳指ETF-ProShares","66.55","35","2,329.25","全部成交","35@66.555","2025/03/25 09:57:02 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","35","66.555","2,329.43","2025/03/25 09:57:02 (美东)","美股","USD","","","0.99","1","0.11","","","","","","","","0.06","0.01","","","2.17"
"买入","FBL","GraniteShares 2x Long META Daily ETF","36.48","30","1,094.40","全部成交","30@36.48","2025/03/25 09:56:03 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","30","36.48","1,094.40","2025/03/25 09:56:03 (美东)","美股","USD","","","0.99","1","0.09","","","","","","","","","","","","2.08"
"买入","HIMS","Hims & Hers Health","37.32","40","1,492.80","全部成交","40@37.32","2025/03/25 09:52:58 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","40","37.32","1,492.80","2025/03/25 09:52:59 (美东)","美股","USD","","","0.99","1","0.12","","","","","","","","","","","","2.11"
"卖出","GOOGL","谷歌-A","168.63","30","5,058.90","全部成交","30@168.70","2025/03/25 09:51:39 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","30","168.70","5,061.00","2025/03/25 09:51:39 (美东)","美股","USD","","","0.99","1","0.09","","","","","","","","0.14","0.01","","","2.23"
"卖出","TSLL","2倍做多TSLA ETF-Direxion","10.57","20","211.40","全部成交","20@10.57","2025/03/25 09:49:35 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","10.57","211.40","2025/03/25 09:49:39 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","0.01","0.01","","","2.07"
"卖出","PLTR","Palantir","95.62","40","3,824.80","全部成交","40@95.6514","2025/03/25 09:49:18 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","31","95.6514","2,965.19","2025/03/25 09:49:19 (美东)","美股","USD","","","0.99","1","0.12","","","","","","","","0.1","0.02","","","2.23"
"","","","","","","","","","","","","","","","","","","9","95.6514","860.86","2025/03/25 09:49:19 (美东)","美股","USD","","","","","","","","","","","","","","","","",""
"卖出","TQQQ","3倍做多纳指ETF-ProShares","66.60","15","999.00","全部成交","15@66.60","2025/03/25 09:42:40 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","15","66.60","999.00","2025/03/25 09:42:50 (美东)","美股","USD","","","0.99","1","0.05","","","","","","","","0.03","0.01","","","2.08"
"卖出","GOOGL","谷歌-A","168.93","10","1,689.30","全部成交","10@168.93","2025/03/25 09:42:18 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","10","168.93","1,689.30","2025/03/25 09:54:46 (美东)","美股","USD","","","0.99","1","0.03","","","","","","","","0.05","0.01","","","2.08"
