Side,Symbol,Name,Order Price,Order Qty,Order Amount,Status,Filled@Avg Price,Order Time,Order Type,Time-in-Force,Allow Pre-Market,Session,Trigger price,Position Opening,Markets,Currency,Order Source,Fill Qty,Fill Price,Fill Amount,Fill Time,Markets.1,Currency.1,Counterparty,Remarks,Commission,Platform Fees,Settlement Fees,Options Regulatory Fees,OCC Fees,Option Settlement Fees,SEC Fees,Trading Activity Fees,Stamp Duty,Trading Fees,SFC Levy,FRC Levy,Trading Tariff,Consolidated Audit Trail Fees,Total
Sell,MSTR,Strategy,307.2,11,3379.2,Filled,10@329.55,"Sep 22, 2025 09:36:16 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,10,334.43,3344.3,"Sep 22, 2025 09:36:16 ET",US,USD,,,1.06,1.09,0.03,,,,,0.01,,,,,,0.0,2.19
Buy,MSTR,Strategy,337.78,5,1688.9,Filled,5@323.75,"Sep 19, 2025 14:10:02 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,5,328.95,1644.75,"Sep 19, 2025 14:10:02 ET",US,USD,,,0.93,1.08,0.02,,,,,,,,,,,0.0,2.03
Short Sell,BIDU260116C175000,BIDU 260116 175.00C,6.46,1,6.46,Filled,1@6.72,"Sep 19, 2025 12:16:16 ET",Limit,Day,,,,,US,USD,,1,6.47,6.47,"Sep 19, 2025 12:16:16 ET",US,USD,,,1.87,0.29,,0.02,0.02,0.19,,0.01,,,,,,0.0,2.4
Buy,UNH,UnitedHealth,321.19,10,3211.9,Filled,10@309.1,"Sep 19, 2025 11:12:18 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,6,339.96,2039.76,"Sep 19, 2025 11:12:41 ET",US,USD,,,0.94,1.01,0.03,,,,,,,,,,,0.0,1.98
,,,,,,,,,,,,,,,,,,4,334.02,1336.08,"Sep 19, 2025 11:12:41 ET",US,USD,,,,,,,,,,,,,,,,,0.0
Sell,HIMS,Hims & Hers Health,63.18,11,694.98,Filled,10@59.29,"Sep 19, 2025 09:40:53 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,10,56.7,567.0,"Sep 19, 2025 10:36:52 ET",US,USD,,,1.01,1.09,0.03,,,,,0.01,,,,,,0.0,2.14
Buy,UNH,UnitedHealth,329.85,5,1649.25,Filled,5@341.01,"Sep 19, 2025 09:36:42 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,5,314.14,1570.7,"Sep 19, 2025 09:45:02 ET",US,USD,,,0.92,0.92,0.02,,,,,,,,,,,0.0,1.86
Sell,INOD,Innodata,66.2,15,993.0,Filled,15@75.04,"Sep 19, 2025 09:30:10 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,16,73.02,1168.32,"Sep 19, 2025 09:30:11 ET",US,USD,,,0.91,0.96,0.05,,,,,0.01,,,,,,0.0,1.93
Buy,OSCR,Oscar Health,17.44,37,645.28,Cancelled,0@0.0,"Sep 19, 2025 09:13:15 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,FIG,Figma Inc,59.58,10,595.8,Filled,11@56.03,"Sep 18, 2025 10:40:33 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,11,57.78,635.58,"Sep 18, 2025 10:40:40 ET",US,USD,,,1.07,1.08,0.03,,,,,,,,,,,0.0,2.18
Buy,OSCR,Oscar Health,17.12,32,547.84,Filled,30@19.52,"Sep 18, 2025 10:35:44 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,32,17.22,551.04,"Sep 18, 2025 10:35:44 ET",US,USD,,,1.02,1.05,0.09,,,,,,,,,,,0.0,2.16
Sell,INOD,Innodata,65.74,11,723.14,Filled,10@73.54,"Sep 17, 2025 10:23:58 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,10,72.09,720.9,"Sep 17, 2025 10:23:59 ET",US,USD,,,1.02,1.05,0.03,,,,,0.01,,,,,,0.0,2.11
Buy,BRKB251219P440000,BRKB 251219 440.00P,3.35,1,3.35,Filled,1@2.79,"Sep 17, 2025 09:32:59 ET",Limit,Day,,,,,US,USD,,1,2.77,2.77,"Sep 17, 2025 09:32:59 ET",US,USD,,,2.04,0.32,,0.02,0.02,0.19,,,,,,,,0.0,2.59
Sell,BIDU260618P105000,BIDU 260618 105.00P,8.29,1,8.29,Filled,1@8.4,"Sep 16, 2025 13:14:33 ET",Limit,Day,,,,,US,USD,,1,8.44,8.44,"Sep 16, 2025 13:14:36 ET",US,USD,,,2.1,0.29,,0.02,0.02,0.2,,0.01,,,,,,0.0,2.64
Buy,BIDU260116C140000,BIDU 260116 140.00C,8.69,1,8.69,Filled,1@9.5,"Sep 16, 2025 13:14:02 ET",Limit,Day,,,,,US,USD,,1,9.16,9.16,"Sep 16, 2025 13:14:19 ET",US,USD,,,2.01,0.29,,0.02,0.02,0.17,,,,,,,,0.0,2.51
Buy,BIDU260320P105/260618P105,BIDU Calendar Spread,2.19,1unit(s),,Filled,1unit(s)@2.05,"Sep 16, 2025 10:30:57 ET",Limit,Day,,,,,US,USD,,,,,,,,,,3.62,0.59,,0.04,0.04,0.39,,0.01,,,,,,0.0,4.69
Sell,BIDU260320P105000,BIDU 260320 105.00P,,1,,,,,,,,,,,,,,1,7.13,7.13,"Sep 16, 2025 10:30:57 ET",US,USD,,,,,,,,,,,,,,,,,0.0
Buy,BIDU260618P105000,BIDU 260618 105.00P,,1,,,,,,,,,,,,,,1,8.56,8.56,"Sep 16, 2025 10:30:57 ET",US,USD,,,,,,,,,,,,,,,,,0.0
Sell,HIMS,Hims & Hers Health,47.6,18,856.8,Filled,21@53.39,"Sep 16, 2025 09:55:41 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,21,53.25,1118.25,"Sep 16, 2025 09:55:52 ET",US,USD,,,0.99,1.09,0.06,,,,,0.01,,,,,,0.0,2.15
Sell,TSLL,Direxion Daily TSLA Bull 2X Shares,17.9,19,340.1,Filled,20@17.5,"Sep 15, 2025 12:44:49 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,18,20.15,362.7,"Sep 15, 2025 13:26:04 ET",US,USD,,,1.01,1.08,0.06,,,,,0.01,,,,,,0.0,2.16
Short Sell,BIDU260116C140000,BIDU 260116 140.00C,5.32,1,5.32,Filled,1@5.14,"Sep 15, 2025 10:25:32 ET",Limit,Day,,,,,US,USD,,1,6.03,6.03,"Sep 15, 2025 10:25:43 ET",US,USD,,,1.99,0.33,,0.02,0.02,0.17,,0.01,,,,,,0.0,2.54
Sell,HIMS260618C60000,HIMS 260618 60.00C,15.06,1,15.06,Filled,1@16.2,"Sep 15, 2025 10:24:39 ET",Limit,Day,,,,,US,USD,,1,14.79,14.79,"Sep 15, 2025 10:24:42 ET",US,USD,,,2.18,0.29,,0.02,0.02,0.17,,0.01,,,,,,0.0,2.69
Buy,HIMS,Hims & Hers Health,50.51,9,454.59,Filled,11@49.36,"Sep 12, 2025 12:28:21 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,10,48.41,484.1,"Sep 12, 2025 12:28:21 ET",US,USD,,,1.07,1.06,0.03,,,,,,,,,,,0.0,2.16
Sell,OPEN260220C12000,OPEN 260220 12.00C,2.79,1,2.79,Filled,1@3.25,"Sep 12, 2025 10:50:25 ET",Limit,Day,,,,,US,USD,,1,2.96,2.96,"Sep 12, 2025 10:50:32 ET",US,USD,,,2.14,0.28,,0.02,0.02,0.17,,0.01,,,,,,0.0,2.64
Buy,BIDU260320P105000,BIDU 260320 105.00P,7.22,1,7.22,Filled,1@8.69,"Sep 12, 2025 09:34:42 ET",Limit,Day,,,,,US,USD,,1,8.04,8.04,"Sep 12, 2025 09:34:47 ET",US,USD,,,1.99,0.28,,0.02,0.02,0.19,,,,,,,,0.0,2.5
Buy,BIDU260320P105000,BIDU 260320 105.00P,8.16,1,8.16,Filled,1@8.48,"Sep 12, 2025 09:34:32 ET",Limit,Day,,,,,US,USD,,1,8.54,8.54,"Sep 12, 2025 09:34:32 ET",US,USD,,,2.18,0.32,,0.02,0.02,0.2,,,,,,,,0.0,2.74
Short Sell,BIDU260320P105000,BIDU 260320 105.00P,7.47,1,7.47,Filled,1@8.55,"Sep 12, 2025 09:34:01 ET",Limit,Day,,,,,US,USD,,1,8.49,8.49,"Sep 12, 2025 09:34:02 ET",US,USD,,,2.16,0.31,,0.02,0.02,0.2,,0.01,,,,,,0.0,2.72
Buy,BIDU260320P105000,BIDU 260320 105.00P,8.54,1,8.54,Cancelled,0@0.0,"Sep 12, 2025 09:33:40 ET",Limit,Day,,,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Short Sell,BIDU260320C125000,BIDU 260320 125.00C,13.72,1,13.72,Cancelled,0@0.0,"Sep 12, 2025 09:32:40 ET",Limit,Day,,,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,FIG,Figma Inc,49.31,19,936.89,Filled,22@49.27,"Sep 11, 2025 14:18:02 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,21,53.3,1119.3,"Sep 11, 2025 14:18:02 ET",US,USD,,,0.95,0.95,0.06,,,,,,,,,,,0.0,1.96
Buy,BIDU251219P90000,BIDU 251219 90.00P,Market Price,2,,Cancelled,0@0.0,"Sep 11, 2025 12:21:10 ET",Market,Day,,,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,HIMS260618C60000,HIMS 260618 60.00C,10.94,1,10.94,Filled,1@11.31,"Sep 11, 2025 09:32:34 ET",Limit,Day,,,,,US,USD,,1,11.61,11.61,"Sep 11, 2025 09:32:34 ET",US,USD,,,1.88,0.3,,0.02,0.02,0.17,,,,,,,,0.0,2.39
Sell,INOD,Innodata,59.96,8,479.68,Filled,8@55.65,"Sep 10, 2025 12:11:57 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,9,57.76,519.84,"Sep 10, 2025 12:12:15 ET",US,USD,,,1.01,0.95,0.02,,,,,0.01,,,,,,0.0,1.99
Sell,MIU251030C55000,MIU 251030 55.00 C,2.68,1,2.68,Filled,1@3.05,"Sep 10, 2025 14:45:13 HKT",Limit,Day,,,,,HK,HKD,,1,2.97,2.97,"Sep 10, 2025 14:45:14 HKT",HK,HKD,,,5.17,14.2,,,,,,,,,,,0.96,,20.33
Buy,OPEN260220C12000,OPEN 260220 12.00C,1.7,1,1.7,Filled,1@1.88,"Sep 8, 2025 11:31:54 ET",Limit,Day,,,,,US,USD,,1,1.8,1.8,"Sep 8, 2025 11:31:54 ET",US,USD,,,2.11,0.31,,0.02,0.02,0.17,,,,,,,,0.0,2.63
Short Sell,MSTR260116P300000,MSTR 260116 300.00P,32.94,1,32.94,Filled,1@29.81,"Sep 8, 2025 10:34:58 ET",Limit,Day,,,,,US,USD,,1,31.24,31.24,"Sep 8, 2025 10:34:59 ET",US,USD,,,1.98,0.29,,0.02,0.02,0.18,,0.01,,,,,,0.0,2.5
Buy,FIG,Figma Inc,56.27,11,618.97,Filled,10@51.58,"Sep 4, 2025 14:28:02 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,11,51.64,568.04,"Sep 4, 2025 14:28:02 ET",US,USD,,,1.0,1.04,0.03,,,,,,,,,,,0.0,2.07
Buy,OSCR,Oscar Health,16.01,31,496.31,Cancelled,0@0.0,"Sep 4, 2025 10:01:51 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Sell,OSCR,Oscar Health,19.24,40,769.6,Filled,41@19.19,"Sep 4, 2025 08:43:02 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,41,18.14,743.74,"Sep 4, 2025 08:51:12 ET",US,USD,,,0.99,1.0,0.12,,,,,0.01,,,,,,0.0,2.12
Buy,TSLL,Direxion Daily TSLA Bull 2X Shares,12.94,83,1074.02,Filled,87@13.21,"Sep 3, 2025 10:14:18 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,78,13.32,1038.96,"Sep 3, 2025 10:14:18 ET",US,USD,,,0.97,1.0,0.23,,,,,,,,,,,0.0,2.2
Sell,BRK.B,Berkshire Hathaway-B,468.66,2,937.32,Filled,2@459.72,"Sep 2, 2025 12:44:49 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,2,483.46,966.92,"Sep 2, 2025 12:46:01 ET",US,USD,,,1.03,1.02,0.01,,,,,0.01,,,,,,0.0,2.07
Sell,09988,BABA-W,123.57,108,13345.56,Filled,96@135.36,"Sep 1, 2025 09:39:31 HKT",Limit,Day,Allow,,,,HK,HKD,,91,139.58,12701.78,"Sep 1, 2025 09:39:33 HKT",HK,HKD,,,3.77,15.64,0.58,,,,,,14.07,0.75,0.34,0.02,,,35.17
Buy,09988,BABA-W,132.74,211,28008.14,Filled,194@132.1,"Sep 1, 2025 09:35:18 HKT",Limit,Day,Allow,,,,HK,HKD,,219,138.53,30338.07,"Sep 1, 2025 09:35:18 HKT",HK,HKD,,,8.84,14.62,1.06,,,,,,27.38,1.61,0.68,0.04,,,54.23
Sell,09988,BABA-W,Market Price,206,,Filled,195@133.61,"Sep 1, 2025 09:32:58 HKT",Market,Day,,,,,HK,HKD,,207,143.43,29690.01,"Sep 1, 2025 09:32:59 HKT",HK,HKD,,,8.36,16.06,1.14,,,,,,26.55,1.45,0.7,0.04,,,54.3
Buy,09988,BABA-W,115.31,94,10839.14,Filled,102@106.27,"Aug 28, 2025 11:48:09 HKT",Limit,Day,Allow,,,,HK,HKD,,98,125.35,12284.3,"Aug 28, 2025 11:48:09 HKT",HK,HKD,,,3.48,14.97,0.51,,,,,,10.98,0.68,0.29,0.02,,,30.93
Sell,BRKB251219C500000,BRKB 251219 500.00C,18.23,1,18.23,Filled,1@17.04,"Aug 27, 2025 10:09:37 ET",Limit,Day,,,,,US,USD,,1,19.67,19.67,"Aug 27, 2025 10:09:44 ET",US,USD,,,2.07,0.28,,0.02,0.02,0.19,,0.01,,,,,,0.0,2.59
Sell,OSCR,Oscar Health,17.16,20,343.2,Filled,20@17.05,"Aug 26, 2025 10:31:26 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,22,16.02,352.44,"Aug 26, 2025 10:31:29 ET",US,USD,,,0.89,0.94,0.06,,,,,0.01,,,,,,0.0,1.9
Sell,OSCR260320C15000,OSCR 260320 15.00C,4.97,2,9.94,Filled,2@5.17,"Aug 26, 2025 10:01:16 ET",Limit,Day,,,,,US,USD,,2,4.62,9.24,"Aug 26, 2025 10:01:18 ET",US,USD,,,1.87,0.54,,0.03,0.04,0.34,,0.01,,,,,,0.01,2.84
Buy,01810,XIAOMI-W,58.57,182,10659.74,Filled,193@50.6,"Aug 26, 2025 15:22:29 HKT",Limit,Day,Allow,,,,HK,HKD,,180,55.74,10033.2,"Aug 26, 2025 15:22:30 HKT",HK,HKD,,,3.25,15.79,0.41,,,,,,11.59,0.56,0.31,0.02,,,31.93
Buy,MSTR,Strategy,324.52,5,1622.6,Filled,5@382.56,"Aug 22, 2025 10:49:37 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,5,371.17,1855.85,"Aug 22, 2025 10:49:37 ET",US,USD,,,0.96,0.9,0.02,,,,,,,,,,,0.0,1.88
Sell,MSTR,Strategy,Market Price,5,,Filled,5@314.66,"Aug 22, 2025 10:19:36 ET",Market,Day,,Regular Trading Hours,,,US,USD,,5,373.97,1869.85,"Aug 22, 2025 10:19:36 ET",US,USD,,,1.01,0.95,0.02,,,,,0.01,,,,,,0.0,1.99
Buy,MSTR,Strategy,343.49,5,1717.45,Filled,5@336.51,"Aug 22, 2025 10:18:14 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,5,317.79,1588.95,"Aug 22, 2025 10:18:14 ET",US,USD,,,0.94,0.98,0.02,,,,,,,,,,,0.0,1.94
Buy,FIG,FIGMA INC,70.9,1,70.9,Filled,1@73.13,"Aug 22, 2025 09:15:20 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,1,66.93,66.93,"Aug 22, 2025 09:15:23 ET",US,USD,,,1.0,1.05,0.0,,,,,,,,,,,0.0,2.05
Buy,09988,BABA-W,124.71,104,12969.84,Filled,104@106.95,"Aug 22, 2025 10:26:46 HKT",Limit,Day,Allow,,,,HK,HKD,,102,119.35,12173.7,"Aug 22, 2025 10:26:46 HKT",HK,HKD,,,3.31,16.46,0.46,,,,,,12.42,0.68,0.3,0.02,,,33.65
Buy,UNH,UnitedHealth,288.46,5,1442.3,Filled,5@281.52,"Aug 21, 2025 10:35:04 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,5,329.3,1646.5,"Aug 21, 2025 10:35:09 ET",US,USD,,,0.98,1.05,0.02,,,,,,,,,,,0.0,2.05
Buy,01810,XIAOMI-W,48.26,218,10520.68,Filled,219@50.86,"Aug 21, 2025 10:57:32 HKT",Limit,Day,Allow,,,,HK,HKD,,196,56.57,11087.72,"Aug 21, 2025 10:57:39 HKT",HK,HKD,,,3.16,13.7,0.4,,,,,,11.85,0.62,0.28,0.02,,,30.03
Buy,INOD,Innodata,36.63,12,439.56,Filled,12@35.28,"Aug 20, 2025 10:05:36 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,12,38.81,465.72,"Aug 20, 2025 10:05:36 ET",US,USD,,,0.96,1.09,0.03,,,,,,,,,,,0.0,2.08
Buy,INOD,Innodata,36.43,12,437.16,Filled,11@38.06,"Aug 20, 2025 10:05:32 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,11,36.5,401.5,"Aug 20, 2025 10:05:33 ET",US,USD,,,0.99,1.1,0.03,,,,,,,,,,,0.0,2.12
Sell,BRKB251219C500000,BRKB 251219 500.00C,13.28,1,13.28,Filled,1@13.1,"Aug 19, 2025 10:19:55 ET",Limit,Day,,,,,US,USD,,1,12.78,12.78,"Aug 19, 2025 10:19:55 ET",US,USD,,,1.87,0.32,,0.02,0.02,0.18,,0.01,,,,,,0.0,2.42
Sell,OSCR260320C15000,OSCR 260320 15.00C,5.03,1,5.03,Filled,1@5.56,"Aug 19, 2025 10:08:30 ET",Limit,Day,,,,,US,USD,,1,5.44,5.44,"Aug 19, 2025 10:08:30 ET",US,USD,,,2.07,0.3,,0.02,0.02,0.17,,0.01,,,,,,0.0,2.59
Buy,INOD,Innodata,41.43,10,414.3,Cancelled,0@0.0,"Aug 18, 2025 10:20:30 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Sell,BIIB,Biogen,Market Price,7,,Filled,8@149.42,"Aug 18, 2025 10:04:30 ET",Market,Day,,Regular Trading Hours,,,US,USD,,7,149.57,1046.99,"Aug 18, 2025 10:04:30 ET",US,USD,,,0.96,0.96,0.02,,,,,0.01,,,,,,0.0,1.95
Sell,BIIB,Biogen,137.86,8,1102.88,Cancelled,0@0.0,"Aug 18, 2025 10:04:03 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,RKLB,Rocket Lab,47.18,20,943.6,Cancelled,0@0.0,"Aug 18, 2025 09:08:34 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,BIIB,Biogen,Market Price,8,,Filled,9@136.78,"Aug 15, 2025 09:40:54 ET",Market,Day,,Regular Trading Hours,,,US,USD,,7,134.82,943.74,"Aug 15, 2025 09:40:54 ET",US,USD,,,1.06,0.99,0.02,,,,,,,,,,,0.0,2.07
Sell,INOD,Innodata,Market Price,9,,Filled,9@37.94,"Aug 15, 2025 09:40:35 ET",Market,Day,,Regular Trading Hours,,,US,USD,,10,40.96,409.6,"Aug 15, 2025 09:40:35 ET",US,USD,,,0.95,0.95,0.03,,,,,0.01,,,,,,0.0,1.94
Buy,FIG,FIGMA INC,Market Price,2,,Filled,2@71.68,"Aug 15, 2025 09:40:08 ET",Market,Day,,Regular Trading Hours,,,US,USD,,2,83.55,167.1,"Aug 15, 2025 09:40:08 ET",US,USD,,,0.93,0.98,0.01,,,,,,,,,,,0.0,1.92
Buy,FIG,FIGMA INC,77.69,2,155.38,Cancelled,0@0.0,"Aug 15, 2025 09:39:53 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,FIG,FIGMA INC,71.93,1,71.93,Filled,1@85.01,"Aug 14, 2025 11:27:28 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,1,71.84,71.84,"Aug 14, 2025 11:27:28 ET",US,USD,,,0.92,0.91,0.0,,,,,,,,,,,0.0,1.83
Sell,MIU251030C55000,MIU 251030 55.00 C,3.24,1,3.24,Filled,1@2.77,"Aug 14, 2025 10:31:44 HKT",Limit,Day,,,,,HK,HKD,,1,3.12,3.12,"Aug 14, 2025 10:31:44 HKT",HK,HKD,,,5.99,15.71,,,,,,,,,,,0.91,,22.61
Buy,FIG,FIGMA INC,88.84,1,88.84,Filled,1@88.86,"Aug 13, 2025 11:12:40 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,1,79.81,79.81,"Aug 13, 2025 11:12:40 ET",US,USD,,,0.94,0.98,0.0,,,,,,,,,,,0.0,1.92
Buy,PDD,PDD Holdings,124.69,16,1995.04,Cancelled,0@0.0,"Aug 13, 2025 09:57:09 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,HIMS,Hims & Hers Health,52.27,41,2143.07,Filled,38@47.74,"Aug 12, 2025 12:51:40 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,38,46.95,1784.1,"Aug 12, 2025 12:51:40 ET",US,USD,,,0.91,0.96,0.12,,,,,,,,,,,0.0,1.99
Sell,OSCR,Oscar Health,16.04,32,513.28,Filled,33@15.6,"Aug 12, 2025 12:45:38 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,30,13.93,417.9,"Aug 12, 2025 12:45:45 ET",US,USD,,,0.94,1.02,0.09,,,,,0.01,,,,,,0.0,2.06
Sell,OSCR260320C15000,OSCR 260320 15.00C,3.55,1,3.55,Filled,1@4.05,"Aug 12, 2025 12:45:26 ET",Limit,Day,,,,,US,USD,,1,3.82,3.82,"Aug 12, 2025 12:45:58 ET",US,USD,,,1.88,0.31,,0.02,0.02,0.18,,0.01,,,,,,0.0,2.42
Buy,FIG,FIGMA INC,86.05,2,172.1,Filled,2@88.61,"Aug 12, 2025 12:40:33 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,2,87.41,174.82,"Aug 12, 2025 12:40:33 ET",US,USD,,,0.98,1.02,0.01,,,,,,,,,,,0.0,2.01
Buy,BRK.B,Berkshire Hathaway-B,438.16,1,438.16,Filled,1@421.13,"Aug 12, 2025 07:53:12 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,1,491.96,491.96,"Aug 12, 2025 07:54:27 ET",US,USD,,,0.97,1.01,0.0,,,,,,,,,,,0.0,1.98
Buy,01810,XIAOMI-W,50.87,203,10326.61,Filled,195@52.88,"Aug 12, 2025 15:32:15 HKT",Limit,Day,Allow,,,,HK,HKD,,198,48.47,9597.06,"Aug 12, 2025 15:32:21 HKT",HK,HKD,,,2.89,16.13,0.47,,,,,,9.96,0.59,0.28,0.02,,,30.34
Buy,MIU251030C55000,MIU 251030 55.00 C,2.09,2,4.18,Filled,2@2.46,"Aug 12, 2025 15:14:11 HKT",Limit,Day,,,,,HK,HKD,,2,2.1,4.2,"Aug 12, 2025 15:15:00 HKT",HK,HKD,,,10.0,15.86,,,,,,,,,,,2.16,,28.02
Sell,GOOGL,Alphabet-A,196.06,11,2156.66,Filled,10@194.88,"Aug 11, 2025 13:25:08 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,10,215.82,2158.2,"Aug 11, 2025 13:25:08 ET",US,USD,,,0.92,1.0,0.03,,,,,0.01,,,,,,0.0,1.96
Sell,OSCR260320C15000,OSCR 260320 15.00C,4.94,1,4.94,Filled,1@4.86,"Aug 11, 2025 09:53:37 ET",Limit,Day,,,,,US,USD,,1,4.61,4.61,"Aug 11, 2025 09:55:23 ET",US,USD,,,2.11,0.3,,0.02,0.02,0.16,,0.01,,,,,,0.0,2.62
Buy,INOD,Innodata,41.19,21,864.99,Filled,21@44.83,"Aug 11, 2025 09:44:51 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,21,40.96,860.16,"Aug 11, 2025 09:44:51 ET",US,USD,,,0.93,1.07,0.06,,,,,,,,,,,0.0,2.06
Sell,AMZN,Amazon,234.5,5,1172.5,Filled,5@216.86,"Aug 11, 2025 09:42:59 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,5,240.21,1201.05,"Aug 11, 2025 09:42:59 ET",US,USD,,,0.99,0.91,0.02,,,,,0.01,,,,,,0.0,1.93
Sell,GOOGL,Alphabet-A,198.19,5,990.95,Filled,5@202.9,"Aug 11, 2025 09:42:47 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,5,185.73,928.65,"Aug 11, 2025 09:42:48 ET",US,USD,,,1.09,1.1,0.02,,,,,0.01,,,,,,0.0,2.22
Sell,AAPL,Apple,222.26,5,1111.3,Filled,5@241.88,"Aug 11, 2025 09:42:37 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,5,224.0,1120.0,"Aug 11, 2025 09:42:38 ET",US,USD,,,1.06,1.0,0.02,,,,,0.01,,,,,,0.0,2.09
Buy,FIG,FIGMA INC,85.53,1,85.53,Filled,1@81.12,"Aug 8, 2025 15:37:42 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,1,74.48,74.48,"Aug 8, 2025 15:37:43 ET",US,USD,,,0.99,0.98,0.0,,,,,,,,,,,0.0,1.97
Short Sell,BRKB251219P440000,BRKB 251219 440.00P,8.46,1,8.46,Failed,0@0.0,"Aug 8, 2025 14:33:38 ET",Limit,Day,,,,,US,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
Buy,OSCR260320C15000,OSCR 260320 15.00C,4.04,5,20.2,Filled,5@3.93,"Aug 7, 2025 12:34:29 ET",Limit,Day,,,,,US,USD,,5,3.8,19.0,"Aug 7, 2025 12:48:45 ET",US,USD,,,3.39,1.57,,0.08,0.11,0.85,,,,,,,,0.02,6.02
Short Sell,BRKB251219P440000,BRKB 251219 440.00P,8.77,1,8.77,Filled,1@8.87,"Aug 7, 2025 12:25:00 ET",Limit,Day,,,,,US,USD,,1,7.58,7.58,"Aug 7, 2025 12:25:01 ET",US,USD,,,2.1,0.3,,0.02,0.02,0.17,,0.01,,,,,,0.0,2.62
Buy,FIG,FIGMA INC,75.23,1,75.23,Filled,1@72.87,"Aug 7, 2025 12:03:49 ET",Limit,Day,,RTH + Pre/Post-Mkt,,,US,USD,,1,85.73,85.73,"Aug 7, 2025 12:03:50 ET",US,USD,,,0.95,1.0,0.0,,,,,,,,,,,0.0,1.95
Sell,MSTU,T-Rex 2X Long MSTR Daily Target ETF,Market Price,137,,Filled,162@8.18,"Aug 7, 2025 12:01:19 ET",Market,Day,,Regular Trading Hours,,,US,USD,,140,8.59,1202.6,"Aug 7, 2025 12:01:20 ET",US,USD,,,1.0,1.03,0.49,,,,,0.02,,,,,,0.01,2.55
