方向,代码,名称,订单价格,订单数量,订单金额,交易状态,已成交@均价,下单时间,订单类型,期限,盘前竞价,时段,触发价,允许开仓,市场,币种,订单来源,成交数量,成交价格,成交金额,成交时间,市场.1,币种.1,对手经纪,备注,佣金,平台使用费,交收费,印花税,交易费,证监会征费,财汇局征费,期权监管费,期权清算费,期权交收费,证监会规费,交易活动费,交易系统使用费,综合审计跟踪监管费,合计费用
买入,TSLL,2倍做多TSLA ETF-Direxion,7.46,194,1447.24,全部成交,212@7.51,2025/04/07 09:50:36 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,189,6.64,1254.96,2025/04/07 09:50:37 (美东),美股,USD,,,1.03,0.94,0.58,,,,,,,,,,,,2.55
买入,SVXY,做空波动率指数短期期货ETF-ProShares,34.48,22,758.56,全部成交,18@33.07,2025/04/07 09:30:45 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,20,37.26,745.2,2025/04/07 09:30:45 (美东),美股,USD,,,0.94,1.08,0.06,,,,,,,,,,,,2.08
买入,TSLL,2倍做多TSLA ETF-Direxion,6.18,105,648.9,全部成交,101@6.64,2025/04/07 09:20:45 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,98,6.84,670.32,2025/04/07 09:20:46 (美东),美股,USD,,,0.96,1.04,0.32,,,,,,,,,,,,2.32
买入,NVDL,2倍做多NVDA ETF-GraniteShares,24.61,49,1205.89,全部成交,49@25.34,2025/04/07 09:20:10 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,47,23.95,1125.65,2025/04/07 09:20:10 (美东),美股,USD,,,0.95,0.92,0.15,,,,,,,,,,,,2.02
买入,NVDA,英伟达,95.79,10,957.9,全部成交,10@92.73,2025/04/07 09:13:46 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,10,91.82,918.2,2025/04/07 09:13:47 (美东),美股,USD,,,1.05,1.05,0.03,,,,,,,,,,,,2.13
买入,09988,阿里巴巴-W,99.62,100,9962.0,全部成交,106@110.45,2025/04/07 14:38:01 (香港),限价单,当日有效,允许,,,,港股,HKD,,92,105.77,9730.84,2025/04/07 14:38:01 (香港),港股,HKD,,,3.15,13.86,1.96,11.93,0.59,0.28,0.02,,,,,,,,31.79
买入,09988,阿里巴巴-W,105.61,210,22178.1,已撤单,0@0.0,2025/04/07 14:13:10 (香港),限价单,当日有效,允许,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,09988,阿里巴巴-W,99.01,95,9405.95,全部成交,102@101.73,2025/04/07 10:23:50 (香港),限价单,当日有效,允许,,,,港股,HKD,,109,107.41,11707.69,2025/04/07 10:23:52 (香港),港股,HKD,,,3.09,14.97,1.89,10.67,0.6,0.28,0.02,,,,,,,,31.52
买入,MSTU,2倍做多MSTR ETF-T-Rex,6.06,186,1127.16,全部成交,203@5.37,2025/04/04 15:28:10 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,217,5.73,1243.41,2025/04/04 15:28:11 (美东),美股,USD,,,0.96,1.02,0.66,,,,,,,,,,,,2.64
卖出,MSTU,2倍做多MSTR ETF-T-Rex,5.51,501,2760.51,全部成交,476@5.19,2025/04/04 15:27:39 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,491,5.25,2577.75,2025/04/04 15:27:39 (美东),美股,USD,,,2.21,2.62,1.54,,,,,,,,0.08,0.08,,,6.53
买入,NVDA,英伟达,89.72,14,1256.08,已撤单,0@0.0,2025/04/04 13:14:05 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,NVDA,英伟达,96.22,11,1058.42,已撤单,0@0.0,2025/04/04 13:13:53 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,NVDA,英伟达,91.75,5,458.75,全部成交,5@92.87,2025/04/04 13:13:35 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,5,95.64,478.2,2025/04/04 13:13:37 (美东),美股,USD,,,0.96,0.96,0.02,,,,,,,,,,,,1.94
买入,SVXY,做空波动率指数短期期货ETF-ProShares,37.22,44,1637.68,全部成交,40@41.92,2025/04/04 10:05:42 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,42,42.09,1767.78,2025/04/04 10:05:42 (美东),美股,USD,,,1.02,0.94,0.13,,,,,,,,,,,,2.09
买入,SVXY,做空波动率指数短期期货ETF-ProShares,39.34,38,1494.92,全部成交,40@40.97,2025/04/04 10:05:27 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,42,36.28,1523.76,2025/04/04 10:05:28 (美东),美股,USD,,,1.01,1.1,0.12,,,,,,,,,,,,2.23
卖出,SVXY,做空波动率指数短期期货ETF-ProShares,38.98,43,1676.14,全部成交,38@34.97,2025/04/04 10:05:25 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,36,39.25,1413.0,2025/04/04 10:05:26 (美东),美股,USD,,,0.96,1.06,0.11,,,,,,,,0.04,0.01,,,2.18
买入,SVXY,做空波动率指数短期期货ETF-ProShares,38.95,61,2375.95,全部成交,71@37.08,2025/04/04 09:14:35 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,63,41.9,2639.7,2025/04/04 09:14:35 (美东),美股,USD,,,0.9,0.97,0.2,,,,,,,,,,,,2.07
买入,SVXY,做空波动率指数短期期货ETF-ProShares,35.45,42,1488.9,全部成交,41@37.55,2025/04/04 09:04:44 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,38,37.51,1425.38,2025/04/04 09:04:44 (美东),美股,USD,,,1.04,0.95,0.13,,,,,,,,,,,,2.12
买入,SVXY,做空波动率指数短期期货ETF-ProShares,40.78,64,2609.92,已撤单,0@0.0,2025/04/04 09:04:15 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,SVXY,做空波动率指数短期期货ETF-ProShares,39.1,16,625.6,全部成交,14@36.12,2025/04/04 08:56:25 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,14,40.43,566.02,2025/04/04 08:56:25 (美东),美股,USD,,,0.94,0.92,0.05,,,,,,,,,,,,1.91
买入,MSTU,2倍做多MSTR ETF-T-Rex,5.13,400,2052.0,全部成交,421@5.1,2025/04/04 08:34:35 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,430,5.61,2412.3,2025/04/04 08:34:35 (美东),美股,USD,,,1.8,1.98,1.17,,,,,,,,,,,,4.95
买入,MSTU,2倍做多MSTR ETF-T-Rex,5.14,94,483.16,全部成交,107@4.86,2025/04/04 08:32:55 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,95,5.38,511.1,2025/04/04 08:32:55 (美东),美股,USD,,,0.91,0.9,0.28,,,,,,,,,,,,2.09
卖出,TSLA250417C265000,TSLA 250417 265.00C,17.52,1,17.52,全部成交,1@17.61,2025/04/03 12:22:33 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,17.28,17.28,2025/04/03 12:22:33 (美东),美股,USD,,,2.08,0.32,,,,,,0.01,0.02,0.19,0.05,0.01,,,2.68
卖出,TSLA250417C265000,TSLA 250417 265.00C,17.21,1,17.21,全部成交,1@16.9,2025/04/03 12:18:10 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,18.1,18.1,2025/04/03 12:18:14 (美东),美股,USD,,,2.04,0.29,,,,,,0.01,0.02,0.19,0.05,0.01,,,2.61
卖出,PLTR,Palantir,85.98,26,2235.48,全部成交,23@77.27,2025/04/03 12:08:15 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,25,81.67,2041.75,2025/04/03 12:08:15 (美东),美股,USD,,,0.98,1.07,0.09,,,,,,,,0.06,0.01,,,2.21
买入,TSLA250417C265000,TSLA 250417 265.00C,16.78,2,33.56,全部成交,2@18.82,2025/04/03 12:05:41 (美东),限价单,当日有效,,盘中,,,美股,USD,,2,16.33,32.66,2025/04/03 12:05:42 (美东),美股,USD,,,1.9,0.58,,,,,,0.03,0.04,0.36,,,,,2.91
买入,PLTR,Palantir,83.25,9,749.25,全部成交,10@76.67,2025/04/03 11:36:52 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,11,79.41,873.51,2025/04/03 11:36:52 (美东),美股,USD,,,1.08,1.09,0.03,,,,,,,,,,,,2.2
买入,PLTR,Palantir,86.07,14,1204.98,全部成交,16@76.81,2025/04/03 11:36:17 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,15,76.43,1146.45,2025/04/03 11:45:37 (美东),美股,USD,,,1.03,1.07,0.05,,,,,,,,,,,,2.15
卖出,TSLL,2倍做多TSLA ETF-Direxion,10.83,329,3563.07,全部成交,313@9.44,2025/04/03 08:40:36 (美东),限价单,当日有效,,全时段,,,美股,USD,,271,10.76,2915.96,2025/04/03 08:40:36 (美东),美股,USD,,,1.39,1.48,0.88,,,,,,,,0.08,0.05,,,3.88
买入,TSLL,2倍做多TSLA ETF-Direxion,9.64,217,2091.88,全部成交,190@10.36,2025/04/03 06:45:41 (美东),限价单,当日有效,,全时段,,,美股,USD,,186,10.2,1897.2,2025/04/03 07:01:01 (美东),美股,USD,,,1.05,1.07,0.54,,,,,,,,,,,,2.66
买入,TSLL,2倍做多TSLA ETF-Direxion,10.36,99,1025.64,全部成交,107@9.71,2025/04/03 06:04:05 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,97,10.89,1056.33,2025/04/03 07:01:01 (美东),美股,USD,,,1.06,0.96,0.32,,,,,,,,,,,,2.34
卖出,TSLL,2倍做多TSLA ETF-Direxion,9.91,716,7095.56,全部成交,731@10.44,2025/04/03 06:02:37 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,744,10.72,7975.68,2025/04/03 06:02:37 (美东),美股,USD,,,3.59,3.85,2.13,,,,,,,,0.21,0.12,,,9.9
卖出,TSLL,2倍做多TSLA ETF-Direxion,9.78,184,1799.52,全部成交,194@9.41,2025/04/03 06:01:19 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,213,9.92,2112.96,2025/04/03 06:01:19 (美东),美股,USD,,,0.99,0.92,0.64,,,,,,,,0.07,0.03,,,2.65
卖出,TSLL,2倍做多TSLA ETF-Direxion,10.74,182,1954.68,已撤单,0@0.0,2025/04/03 06:01:01 (美东),限价单,当日有效,,盘中,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,TSLL,2倍做多TSLA ETF-Direxion,触及市价,393,,已撤单,0@0.0,2025/04/03 04:43:12 (美东),止损市价单,当日有效,,盘中,10.3,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,TSLL,2倍做多TSLA ETF-Direxion,9.93,192,1906.56,已撤单,0@0.0,2025/04/03 02:09:58 (美东),限价单,当日有效,,全时段,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,TSLL,2倍做多TSLA ETF-Direxion,9.78,205,2004.9,全部成交,198@10.32,2025/04/02 12:51:14 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,89,9.84,875.76,2025/04/02 16:30:16 (美东),美股,USD,,,0.98,1.03,0.65,,,,,,,,,,,,2.66
,,,,,,,,,,,,,,,,,,109,10.6,1155.4,2025/04/02 16:30:16 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
买入,TSLL,2倍做多TSLA ETF-Direxion,11.14,662,7374.68,全部成交,663@9.81,2025/04/02 12:13:11 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,764,10.69,8167.16,2025/04/02 16:30:37 (美东),美股,USD,,,3.14,3.42,1.97,,,,,,,,,,,,8.53
买入,TSLL,2倍做多TSLA ETF-Direxion,9.84,193,1899.12,已撤单,0@0.0,2025/04/02 11:44:09 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,TSLL,2倍做多TSLA ETF-Direxion,市价,398,,全部成交,390@11.36,2025/04/02 11:30:46 (美东),市价单,当日有效,,盘中,,,美股,USD,,439,10.71,4701.69,2025/04/02 11:30:46 (美东),美股,USD,,,1.91,1.99,1.23,,,,,,,,0.11,0.08,,,5.32
卖出,01810,小米集团-W,市价,200,,全部成交,197@45.81,2025/04/02 15:33:29 (香港),市价单,当日有效,,,,,港股,HKD,,190,48.81,9273.9,2025/04/02 15:33:29 (香港),港股,HKD,,,2.79,16.35,1.87,8.46,0.46,0.24,0.01,,,,,,,,30.18
买入,01810,小米集团-W,46.47,206,9572.82,全部成交,215@43.51,2025/04/02 10:56:20 (香港),限价单,当日有效,允许,,,,港股,HKD,,219,48.24,10564.56,2025/04/02 10:56:20 (香港),港股,HKD,,,3.29,14.32,1.89,10.29,0.54,0.26,0.01,,,,,,,,30.6
买入,TSLL,2倍做多TSLA ETF-Direxion,市价,192,,全部成交,193@10.8,2025/04/01 14:51:01 (美东),市价单,当日有效,,盘中,,,美股,USD,,188,9.78,1838.64,2025/04/01 14:51:01 (美东),美股,USD,,,1.02,1.03,0.58,,,,,,,,,,,,2.63
买入,TSLL,2倍做多TSLA ETF-Direxion,10.4,191,1986.4,全部成交,193@10.01,2025/04/01 14:50:50 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,77,9.23,710.71,2025/04/01 14:51:03 (美东),美股,USD,,,1.07,0.96,0.66,,,,,,,,,,,,2.69
,,,,,,,,,,,,,,,,,,133,10.91,1451.03,2025/04/01 14:51:03 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
卖出,PLTR,Palantir,市价,10,,全部成交,10@84.19,2025/04/01 11:38:40 (美东),市价单,当日有效,,盘中,,,美股,USD,,11,81.83,900.13,2025/04/01 11:38:40 (美东),美股,USD,,,0.97,0.93,0.03,,,,,,,,0.02,0.01,,,1.96
卖出,PLTR,Palantir,76.81,10,768.1,全部成交,11@87.11,2025/04/01 11:21:13 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,10,80.66,806.6,2025/04/01 11:21:31 (美东),美股,USD,,,1.09,0.95,0.03,,,,,,,,0.02,0.01,,,2.1
买入,PLTR,Palantir,87.2,20,1744.0,全部成交,19@76.33,2025/04/01 10:46:01 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,19,84.64,1608.16,2025/04/01 10:46:10 (美东),美股,USD,,,0.91,1.01,0.06,,,,,,,,,,,,1.98
卖出,TSLL,2倍做多TSLA ETF-Direxion,9.99,96,959.04,全部成交,109@10.52,2025/04/01 10:07:06 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,103,10.51,1082.53,2025/04/01 10:07:10 (美东),美股,USD,,,1.07,0.93,0.32,,,,,,,,0.03,0.02,,,2.37
买入,TSLL,2倍做多TSLA ETF-Direxion,9.0,91,819.0,全部成交,91@10.18,2025/04/01 09:45:36 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,110,10.29,1131.9,2025/04/01 09:45:36 (美东),美股,USD,,,1.04,0.93,0.31,,,,,,,,,,,,2.28
卖出,MIU250429P43000,小米 250429 43.00 沽,0.98,1,0.98,全部成交,1@0.98,2025/04/01 15:48:00 (香港),限价单,当日有效,,,,,港股,HKD,,1,0.93,0.93,2025/04/01 15:48:00 (香港),港股,HKD,,,2.95,15.59,,,,,,,,,,,1.03,,19.57
买入,MIU250429P43000,小米 250429 43.00 沽,0.96,1,0.96,全部成交,1@0.89,2025/04/01 13:17:51 (香港),限价单,当日有效,,,,,港股,HKD,,1,0.92,0.92,2025/04/01 13:17:54 (香港),港股,HKD,,,2.71,15.79,,,,,,,,,,,1.05,,19.55
卖出,MIU250429C52500,小米 250429 52.50 购,1.2,1,1.2,全部成交,1@1.12,2025/04/01 13:12:00 (香港),限价单,当日有效,,,,,港股,HKD,,1,1.21,1.21,2025/04/01 13:12:05 (香港),港股,HKD,,,3.27,13.68,,,,,,,,,,,1.08,,18.03
买入,MIU250429C52500,小米 250429 52.50 购,1.21,1,1.21,全部成交,1@1.31,2025/04/01 13:11:11 (香港),限价单,当日有效,,,,,港股,HKD,,1,1.26,1.26,2025/04/01 13:11:11 (香港),港股,HKD,,,2.85,15.91,,,,,,,,,,,0.93,,19.69
卖出,MIU250429P45000,小米 250429 45.00 沽,0.94,7,6.58,全部成交,6@0.91,2025/03/31 14:48:21 (香港),限价单,当日有效,,,,,港股,HKD,,5,0.85,4.25,2025/03/31 14:48:21 (香港),港股,HKD,,,12.59,16.1,,,,,,,,,,,7.38,,36.07
,,,,,,,,,,,,,,,,,,2,0.85,1.7,2025/03/31 14:48:21 (香港),港股,HKD,,,,,,,,,,,,,,,,,0.0
卖出,MIU250429C50000,小米 250429 50.00 购,2.33,1,2.33,全部成交,1@2.46,2025/03/31 11:27:57 (香港),限价单,当日有效,,,,,港股,HKD,,1,2.21,2.21,2025/03/31 11:28:00 (香港),港股,HKD,,,4.82,15.48,,,,,,,,,,,0.96,,21.26
买入,MIU250429P45000,小米 250429 45.00 沽,1.01,5,5.05,全部成交,5@0.88,2025/03/31 11:27:39 (香港),限价单,当日有效,,,,,港股,HKD,,5,0.87,4.35,2025/03/31 11:27:42 (香港),港股,HKD,,,10.25,14.62,,,,,,,,,,,5.19,,30.06
买入,MIU250429C50000,小米 250429 50.00 购,2.45,1,2.45,全部成交,1@2.3,2025/03/31 11:16:16 (香港),限价单,当日有效,,,,,港股,HKD,,1,2.61,2.61,2025/03/31 11:16:33 (香港),港股,HKD,,,4.8,14.74,,,,,,,,,,,0.97,,20.51
买入,MIU250429P45000,小米 250429 45.00 沽,0.95,2,1.9,全部成交,2@0.91,2025/03/31 11:12:46 (香港),限价单,当日有效,,,,,港股,HKD,,2,0.82,1.64,2025/03/31 11:12:48 (香港),港股,HKD,,,3.32,13.97,,,,,,,,,,,2.02,,19.31
卖出,TSLA250411P250000,TSLA 250411 250.00P,8.91,2,17.82,全部成交,2@8.51,2025/03/28 11:37:46 (美东),限价单,当日有效,,盘中,,,美股,USD,,2,8.12,16.24,2025/03/28 11:37:49 (美东),美股,USD,,,1.87,0.56,,,,,,0.03,0.04,0.33,0.05,0.01,,,2.89
卖出,TSLA250516P220000,TSLA 250516 220.00P,8.56,1,8.56,全部成交,1@10.0,2025/03/28 11:37:34 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,9.6,9.6,2025/03/28 11:37:37 (美东),美股,USD,,,1.89,0.33,,,,,,0.01,0.02,0.18,0.03,0.01,,,2.47
买入,TSLA250516P220000,TSLA 250516 220.00P,9.15,1,9.15,全部成交,1@9.19,2025/03/28 10:44:40 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,9.38,9.38,2025/03/28 10:44:40 (美东),美股,USD,,,1.91,0.33,,,,,,0.01,0.02,0.17,,,,,2.44
卖出,TSLA250328P250000,TSLA 250328 250.00P,0.58,4,2.32,全部成交,4@0.54,2025/03/28 10:36:42 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,0.51,0.51,2025/03/28 10:36:43 (美东),美股,USD,,,2.61,1.26,,,,,,0.05,0.08,0.73,0.03,0.03,,,4.79
,,,,,,,,,,,,,,,,,,2,0.5,1.0,2025/03/28 10:36:43 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
,,,,,,,,,,,,,,,,,,1,0.55,0.55,2025/03/28 10:36:43 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
买入,TSLA250411P250000,TSLA 250411 250.00P,10.91,1,10.91,全部成交,1@10.02,2025/03/28 10:36:33 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,11.2,11.2,2025/03/28 10:36:33 (美东),美股,USD,,,2.13,0.32,,,,,,0.01,0.02,0.16,,,,,2.64
买入,TSLA250411P250000,TSLA 250411 250.00P,11.17,1,11.17,全部成交,1@10.16,2025/03/28 10:35:41 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,11.52,11.52,2025/03/28 10:35:41 (美东),美股,USD,,,1.89,0.28,,,,,,0.01,0.02,0.19,,,,,2.39
卖出,TSLA250328C250000,TSLA 250328 250.00C,12.47,1,12.47,全部成交,1@12.19,2025/03/28 10:35:03 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,12.17,12.17,2025/03/28 10:35:04 (美东),美股,USD,,,2.11,0.32,,,,,,0.01,0.02,0.18,0.04,0.01,,,2.69
买入,TSLA250328P250000,TSLA 250328 250.00P,0.64,4,2.56,全部成交,4@0.58,2025/03/28 10:34:42 (美东),限价单,当日有效,,盘中,,,美股,USD,,4,0.55,2.2,2025/03/28 10:34:52 (美东),美股,USD,,,2.53,1.11,,,,,,0.05,0.09,0.7,,,,,4.48
买入,TSLA250328C250000,TSLA 250328 250.00C,14.33,1,14.33,全部成交,1@14.12,2025/03/28 10:34:17 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,14.06,14.06,2025/03/28 10:34:18 (美东),美股,USD,,,1.98,0.28,,,,,,0.01,0.02,0.19,,,,,2.48
卖出,TSLL,2倍做多TSLA ETF-Direxion,市价,158,,全部成交,138@9.46,2025/03/28 10:28:39 (美东),市价单,当日有效,,盘中,,,美股,USD,,163,9.6,1564.8,2025/03/28 10:28:40 (美东),美股,USD,,,1.04,1.0,0.48,,,,,,,,0.04,0.02,,,2.58
卖出,TSLL,2倍做多TSLA ETF-Direxion,市价,151,,下单失败,0@0.0,2025/03/28 10:28:23 (美东),市价单,当日有效,,盘中,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,TSLL,2倍做多TSLA ETF-Direxion,市价,97,,全部成交,105@10.74,2025/03/28 10:28:09 (美东),市价单,当日有效,,盘中,,,美股,USD,,92,10.43,959.56,2025/03/28 10:28:09 (美东),美股,USD,,,0.98,0.96,0.28,,,,,,,,0.03,0.02,,,2.27
卖出,TSLL,2倍做多TSLA ETF-Direxion,9.73,155,1508.15,已撤单,0@0.0,2025/03/28 10:28:02 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,TSLL,2倍做多TSLA ETF-Direxion,9.64,94,906.16,全部成交,97@10.0,2025/03/28 10:17:55 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,98,9.78,958.44,2025/03/28 10:17:55 (美东),美股,USD,,,1.04,1.03,0.28,,,,,,,,,,,,2.35
买入,TSLL,2倍做多TSLA ETF-Direxion,11.22,49,549.78,全部成交,50@11.52,2025/03/28 10:00:50 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,52,9.95,517.4,2025/03/28 10:00:51 (美东),美股,USD,,,1.05,1.08,0.16,,,,,,,,,,,,2.29
买入,TSLL,2倍做多TSLA ETF-Direxion,11.16,108,1205.28,全部成交,103@10.97,2025/03/28 09:49:19 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,93,10.2,948.6,2025/03/28 09:49:21 (美东),美股,USD,,,0.95,0.95,0.27,,,,,,,,,,,,2.17
卖出,GLD250516P270000,GLD 250516 270.00P,1.32,6,7.92,全部成交,7@1.44,2025/03/28 09:48:48 (美东),限价单,当日有效,,盘中,,,美股,USD,,7,1.4,9.8,2025/03/28 09:48:54 (美东),美股,USD,,,4.71,2.02,,,,,,0.1,0.15,1.18,0.03,0.02,,,8.21
卖出,AMZN250815C205000,AMZN 250815 205.00C,14.54,1,14.54,全部成交,1@15.61,2025/03/28 09:44:53 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,14.5,14.5,2025/03/28 09:44:57 (美东),美股,USD,,,2.03,0.32,,,,,,0.01,0.02,0.17,0.04,0.01,,,2.6
买入,AMZN250815C205000,AMZN 250815 205.00C,16.42,1,16.42,全部成交,1@15.21,2025/03/28 09:40:08 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,15.51,15.51,2025/03/28 09:40:08 (美东),美股,USD,,,2.15,0.29,,,,,,0.01,0.02,0.18,,,,,2.65
买入,GLD250516P270000,GLD 250516 270.00P,2.25,1,2.25,全部成交,1@2.24,2025/03/26 13:56:54 (美东),限价单,当日有效,,盘中,,,美股,USD,,1,2.18,2.18,2025/03/26 13:56:55 (美东),美股,USD,,,2.06,0.32,,,,,,0.01,0.02,0.19,,,,,2.6
卖出,TSLL,2倍做多TSLA ETF-Direxion,市价,216,,全部成交,203@10.09,2025/03/26 10:12:35 (美东),市价单,当日有效,,盘中,,,美股,USD,,216,11.49,2481.84,2025/03/26 10:12:36 (美东),美股,USD,,,0.94,0.91,0.54,,,,,,,,0.06,0.03,,,2.48
买入,TSLL,2倍做多TSLA ETF-Direxion,10.57,206,2177.42,全部成交,190@10.71,2025/03/26 10:03:04 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,192,10.25,1968.0,2025/03/26 10:03:05 (美东),美股,USD,,,0.97,1.07,0.6,,,,,,,,,,,,2.64
买入,GLD250516P270000,GLD 250516 270.00P,2.15,3,6.45,全部成交,3@2.18,2025/03/26 09:58:34 (美东),限价单,当日有效,,盘中,,,美股,USD,,3,2.6,7.8,2025/03/26 09:58:34 (美东),美股,USD,,,1.8,0.97,,,,,,0.04,0.06,0.57,,,,,3.44
卖出,FBL,GraniteShares 2x Long META Daily ETF,市价,31,,全部成交,30@39.03,2025/03/26 09:48:44 (美东),市价单,当日有效,,盘中,,,美股,USD,,28,34.86,976.08,2025/03/26 09:48:44 (美东),美股,USD,,,0.97,0.91,0.1,,,,,,,,0.03,0.01,,,2.02
卖出,PLTR,Palantir,市价,33,,全部成交,30@98.85,2025/03/26 09:48:31 (美东),市价单,当日有效,,盘中,,,美股,USD,,32,89.9,2876.8,2025/03/26 09:48:31 (美东),美股,USD,,,0.92,0.98,0.1,,,,,,,,0.09,0.01,,,2.1
卖出,PLTR,Palantir,92.14,27,2487.78,已撤单,0@0.0,2025/03/26 09:48:20 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
卖出,TSLA,特斯拉,市价,10,,全部成交,11@306.11,2025/03/26 09:48:11 (美东),市价单,当日有效,,盘中,,,美股,USD,,11,280.12,3081.32,2025/03/26 09:48:11 (美东),美股,USD,,,0.94,1.02,0.03,,,,,,,,0.08,0.01,,,2.08
卖出,TSLL,2倍做多TSLA ETF-Direxion,市价,97,,全部成交,108@10.34,2025/03/26 09:48:01 (美东),市价单,当日有效,,盘中,,,美股,USD,,105,11.46,1203.3,2025/03/26 09:48:01 (美东),美股,USD,,,1.01,1.01,0.29,,,,,,,,0.03,0.02,,,2.36
卖出,PLTR,Palantir,触及市价,31,,已撤单,0@0.0,2025/03/25 11:39:53 (美东),止损市价单,当日有效,,盘中,94.2,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,,0.0
买入,TSLL,2倍做多TSLA ETF-Direxion,11.97,110,1316.7,全部成交,92@10.51,2025/03/25 11:05:40 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,103,11.55,1189.65,2025/03/25 11:05:44 (美东),美股,USD,,,1.08,0.93,0.29,,,,,,,,,,,,2.3
卖出,TSLL,2倍做多TSLA ETF-Direxion,10.71,470,5033.7,全部成交,505@11.97,2025/03/25 11:00:16 (美东),限价单,当日有效,,盘前+盘中+盘后,,,美股,USD,,191,11.6,2215.6,2025/03/25 11:00:16 (美东),美股,USD,,,2.36,2.26,1.45,,,,,,,,0.14,0.07,,,6.28
,,,,,,,,,,,,,,,,,,109,11.73,1278.57,2025/03/25 11:00:16 (美东),美股,USD,,,,,,,,,,,,,,,,,0.0
